Cidade,Pais,Estadio,Capacidade
Dallas,EUA,AT&T Stadium,94000
Mexico City,México,Estadio Azteca,83000
New York/New Jersey,EUA,MetLife Stadium,82500
Atlanta,EUA,Mercedes-Benz Stadium,75000
Kansas City,EUA,Arrowhead Stadium,73000
Houston,EUA,NRG Stadium,72000
San Francisco,EUA,Levi's Stadium,71000
Los Angeles,EUA,SoFi Stadium,70000
Philadelphia,EUA,Lincoln Financial Field,69000
Seattle,EUA,Lumen Field,69000
Boston,EUA,Gillette Stadium,65000
Miami,EUA,Hard Rock Stadium,65000
Vancouver,Canadá,BC Place,54000
Monterrey,México,Estadio BBVA,53500
Guadalajara,México,Estadio Akron,48000
Toronto,Canadá,BMO Field,45000
